City,Date,PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,2015-02-05,224.35,423.94,61.36,87.66,69.25,6.11,54.14,13.62,1.88,10.92,7.44,500.0,Severe
Delhi,2015-02-06,260.94,448.47,78.11,111.59,73.59,6.74,54.02,35.78,7.98,13.61,8.25,500.0,Severe
Delhi,2015-02-07,141.39,192.28,47.09,67.28,50.49,4.0,27.73,54.33,9.51,9.88,4.41,500.0,Severe
Delhi,2015-02-08,121.43,196.49,30.52,43.6,67.4,3.65,32.4,47.72,10.55,9.52,4.53,500.0,Severe
Delhi,2015-02-09,164.42,257.42,44.92,64.17,71.87,5.15,50.6,36.26,8.93,24.32,8.24,500.0,Severe
Delhi,2015-02-10,107.41,269.89,37.22,53.18,,3.33,29.62,24.08,5.68,10.6,6.44,448.0,Severe
Delhi,2015-02-11,280.04,559.49,80.35,114.78,84.64,7.41,50.11,48.08,7.43,8.5,3.23,500.0,Severe
Delhi,2015-02-12,286.39,452.5,82.03,117.19,90.34,6.83,55.07,33.13,6.85,10.35,4.34,500.0,Severe
Delhi,2015-02-13,332.6,565.69,92.74,132.48,102.38,7.76,64.49,26.39,10.27,14.0,4.04,500.0,Severe
Delhi,2015-02-14,286.73,536.57,75.88,108.4,69.27,6.53,53.49,44.2,6.62,10.77,2.95,500.0,Severe
Delhi,2015-02-15,197.52,343.01,57.92,82.74,84.44,4.81,45.01,34.23,6.27,15.34,3.74,500.0,Severe
Delhi,2015-02-16,335.94,480.25,84.32,120.46,124.79,7.95,66.75,47.32,7.64,12.45,4.81,500.0,Severe
Delhi,2015-02-17,163.6,285.07,57.38,81.98,77.91,4.82,56.14,35.11,6.78,3.85,3.98,500.0,Severe
Delhi,2015-02-18,216.08,393.24,66.49,94.98,79.98,5.85,45.5,53.39,5.35,13.15,6.33,500.0,Severe
Delhi,2015-02-19,203.45,358.07,68.15,97.36,71.27,5.34,63.68,43.72,5.45,15.32,4.29,500.0,Severe
Delhi,2015-02-20,132.8,249.69,54.69,78.13,52.67,3.68,45.22,33.59,10.89,15.89,8.77,500.0,Severe
Delhi,2015-02-21,179.84,333.66,46.31,66.16,72.76,5.06,53.94,39.17,4.62,21.78,6.26,500.0,Severe
Delhi,2015-02-22,103.98,212.29,45.93,65.61,69.86,2.82,32.6,19.88,8.55,12.4,5.82,434.0,Severe
Delhi,2015-02-23,146.54,305.25,39.93,57.04,51.51,4.07,49.22,33.6,3.04,15.29,6.15,500.0,Severe
Delhi,2015-02-24,188.81,349.8,58.83,84.04,59.01,4.92,34.32,39.9,10.41,11.37,8.16,500.0,Severe
Delhi,2015-02-25,264.99,419.69,94.66,135.23,93.23,6.51,55.22,39.64,7.57,9.71,4.91,500.0,Severe
Delhi,2015-02-26,110.88,315.58,25.67,36.67,54.76,2.92,15.0,22.34,8.87,10.98,5.7,462.0,Severe
Delhi,2015-02-27,166.47,383.99,62.51,89.3,61.37,4.82,50.14,23.06,9.47,7.11,7.43,500.0,Severe
Delhi,2015-02-28,95.95,220.25,42.92,61.31,39.61,2.72,42.56,30.14,2.99,19.06,3.52,400.0,Severe
Delhi,2015-03-01,84.32,192.64,29.75,42.49,48.19,2.05,41.69,65.45,7.71,9.82,6.8,352.0,Very Poor
Delhi,2015-03-02,216.3,401.22,75.85,108.35,74.89,5.79,64.69,30.66,4.13,12.4,2.74,500.0,Severe
Delhi,2015-03-03,182.42,323.42,61.1,87.29,52.2,5.51,50.22,55.22,4.16,9.5,6.05,500.0,Severe
Delhi,2015-03-04,108.52,147.15,47.86,68.37,43.29,3.05,19.09,60.12,9.72,4.99,10.16,453.0,Severe
Delhi,2015-03-05,214.72,421.09,62.06,88.66,90.17,6.52,48.18,38.56,5.89,11.86,9.54,500.0,Severe
Delhi,2015-03-06,182.24,320.17,63.0,90.0,82.0,5.22,33.63,13.56,4.04,11.1,8.13,500.0,Severe
Delhi,2015-03-07,159.22,300.9,60.27,86.11,69.1,4.36,42.56,15.09,8.62,13.09,3.45,500.0,Severe
Delhi,2015-03-08,170.06,349.02,56.15,80.21,72.52,4.96,36.78,18.92,4.87,17.11,5.48,500.0,Severe
Delhi,2015-03-09,150.85,240.07,59.9,85.57,63.53,4.32,25.74,53.34,11.2,9.93,8.82,500.0,Severe
Delhi,2015-03-10,159.92,255.73,42.27,60.39,56.93,4.72,32.01,35.49,4.98,7.8,2.13,500.0,Severe
Delhi,2015-03-11,201.62,306.84,62.99,89.99,77.07,4.78,50.64,45.74,9.48,13.16,10.91,500.0,Severe
Delhi,2015-03-12,106.75,211.86,39.06,55.8,,3.27,27.05,34.4,10.39,16.19,6.69,445.0,Severe
Delhi,2015-03-13,117.8,161.13,56.57,80.81,57.31,3.31,47.04,34.18,9.0,14.63,10.02,491.0,Severe
Delhi,2015-03-14,52.99,116.46,25.47,36.39,27.64,2.26,16.22,50.42,1.0,8.52,8.41,221.0,Poor
Delhi,2015-03-15,114.0,239.82,49.03,70.04,61.7,3.72,29.23,56.63,9.52,16.27,8.34,475.0,Severe
Delhi,2015-03-16,184.4,296.7,53.89,76.98,75.1,5.09,37.14,46.27,7.32,12.01,7.64,500.0,Severe
Delhi,2015-03-17,214.22,411.18,70.51,100.72,81.05,5.36,64.44,43.29,12.73,11.62,6.56,500.0,Severe
Delhi,2015-03-18,185.53,321.78,57.13,81.61,81.03,4.98,39.93,12.85,6.56,12.51,6.73,500.0,Severe
Delhi,2015-03-19,106.58,137.41,39.49,56.42,56.04,2.75,46.04,10.0,6.49,7.92,7.42,444.0,Severe
Delhi,2015-03-20,111.91,182.93,36.47,52.1,69.58,3.69,30.87,21.59,10.69,11.17,4.58,467.0,Severe
Delhi,2015-03-21,46.24,139.73,30.13,43.05,42.26,2.26,30.87,46.85,9.34,14.57,8.66,193.0,Moderate
Delhi,2015-03-22,84.64,138.29,38.43,54.89,43.0,2.59,30.7,19.63,5.78,11.94,2.82,353.0,Very Poor
Delhi,2015-03-23,198.84,334.02,59.59,85.13,82.57,4.54,25.44,51.41,9.28,8.13,5.9,500.0,Severe
Delhi,2015-03-24,117.2,272.73,58.08,82.98,53.44,3.56,25.57,35.96,7.46,9.07,6.39,489.0,Severe
Delhi,2015-03-25,179.84,332.2,68.56,97.95,76.94,4.82,49.37,30.3,9.18,15.58,7.27,500.0,Severe
Delhi,2015-03-26,147.22,236.69,61.14,87.34,63.85,5.02,40.29,34.46,4.91,9.88,7.24,500.0,Severe
Delhi,2015-03-27,184.03,318.1,59.91,85.59,68.43,5.13,43.56,24.66,2.99,13.6,7.29,500.0,Severe
Delhi,2015-03-28,138.58,197.46,64.11,91.59,53.92,4.68,34.94,15.51,10.4,12.72,7.07,500.0,Severe
Delhi,2015-03-29,129.12,234.12,51.57,73.68,57.02,3.56,36.45,29.93,11.52,14.17,5.26,500.0,Severe
Delhi,2015-03-30,153.26,195.95,55.42,79.17,50.86,4.23,40.98,52.11,11.32,9.17,2.89,500.0,Severe
Delhi,2015-03-31,91.99,125.99,47.29,67.56,63.01,2.42,24.85,33.58,10.55,10.61,5.3,384.0,Very Poor
Delhi,2015-04-01,103.35,200.32,42.08,60.11,54.63,3.79,33.4,35.45,7.02,9.8,6.1,431.0,Severe
Delhi,2015-04-02,238.55,393.84,71.65,102.35,94.62,6.34,34.8,45.2,1.0,20.35,5.72,500.0,Severe
Delhi,2015-04-03,110.98,170.52,39.75,56.79,43.57,3.35,40.23,48.21,7.91,20.01,7.93,463.0,Severe
Delhi,2015-04-04,147.63,271.7,56.47,80.67,64.93,4.81,28.0,22.8,5.74,11.74,6.66,500.0,Severe
Delhi,2015-04-05,189.31,322.93,63.24,90.35,78.03,4.61,29.92,55.7,10.16,14.54,8.58,500.0,Severe
Delhi,2015-04-06,95.65,172.0,33.41,47.73,39.0,3.75,17.83,27.3,1.54,9.44,3.35,399.0,Very Poor
Delhi,2015-04-07,104.7,237.99,53.72,76.75,62.44,3.02,12.71,40.89,,11.92,3.69,437.0,Severe
Delhi,2015-04-08,157.71,286.61,63.81,91.16,72.02,4.59,43.17,52.8,8.84,12.42,5.87,500.0,Severe
Delhi,2015-04-09,97.04,155.12,34.73,49.61,43.09,2.75,22.59,54.56,2.26,13.59,9.03,405.0,Severe
Delhi,2015-04-10,107.65,230.14,47.46,67.79,45.9,3.4,23.4,19.99,8.96,5.63,6.88,449.0,Severe
Delhi,2015-04-11,177.94,335.79,58.81,84.02,73.32,4.81,45.47,58.09,7.15,13.6,7.0,500.0,Severe
Delhi,2015-04-12,92.85,157.47,35.47,50.67,41.48,2.94,36.09,58.72,8.84,8.66,10.29,387.0,Very Poor
Delhi,2015-04-13,161.1,311.45,58.0,82.86,67.95,5.07,48.96,16.95,12.38,5.26,6.63,500.0,Severe
Delhi,2015-04-14,88.76,222.4,51.38,73.4,43.4,3.2,23.88,64.43,7.39,9.67,3.97,370.0,Very Poor
Delhi,2015-04-15,112.14,176.48,44.78,63.98,54.12,3.72,26.85,55.47,9.39,20.47,3.65,468.0,Severe
Delhi,2015-04-16,210.34,319.25,60.24,86.05,82.97,5.63,46.1,41.14,5.24,12.68,3.17,500.0,Severe
Delhi,2015-04-17,89.91,234.64,31.38,44.83,55.28,2.44,24.22,41.09,8.23,16.91,4.5,375.0,Very Poor
Delhi,2015-04-18,155.65,277.26,58.64,83.78,45.55,4.0,46.0,20.03,9.52,7.59,1.69,500.0,Severe
Delhi,2015-04-19,135.18,265.49,49.38,70.54,70.46,4.09,32.2,33.42,9.71,14.4,4.99,500.0,Severe
Delhi,2015-04-20,151.08,230.27,52.92,75.61,,4.66,37.59,47.12,10.45,17.56,7.12,500.0,Severe
Delhi,2015-04-21,107.85,132.6,36.7,52.43,45.5,3.38,35.24,12.96,1.0,13.17,6.57,450.0,Severe
Delhi,2015-04-22,136.38,218.76,48.15,68.78,52.96,3.99,47.38,34.94,7.09,10.45,6.34,500.0,Severe
Delhi,2015-04-23,173.58,269.61,73.47,104.96,78.29,4.59,32.69,38.07,6.48,7.32,8.42,500.0,Severe
Delhi,2015-04-24,186.76,280.62,56.4,80.56,71.54,4.34,46.15,42.75,9.74,12.48,4.05,500.0,Severe
Delhi,2015-04-25,116.21,215.61,39.36,56.24,31.29,3.35,14.01,26.88,8.85,12.83,8.28,485.0,Severe
Delhi,2015-04-26,124.93,171.96,62.34,89.05,69.25,4.0,28.89,44.49,12.68,12.13,4.49,500.0,Severe
Delhi,2015-04-27,128.82,181.42,48.68,69.55,70.19,3.59,36.22,27.96,5.06,6.69,7.36,500.0,Severe
Delhi,2015-04-28,126.32,236.49,54.5,77.86,53.35,3.16,27.89,62.52,7.25,17.31,7.11,500.0,Severe
Delhi,2015-04-29,181.77,350.87,71.77,102.52,74.04,5.07,48.23,27.19,9.67,11.16,4.81,500.0,Severe
Delhi,2015-04-30,178.48,212.55,56.93,81.33,78.23,4.89,39.56,52.24,6.25,11.33,6.57,500.0,Severe
Delhi,2015-05-01,113.87,255.23,50.05,71.5,53.77,3.68,23.77,44.89,7.72,11.66,7.63,475.0,Severe
Delhi,2015-05-02,69.52,103.79,37.76,53.94,48.03,2.69,39.05,79.03,2.72,15.01,6.76,290.0,Poor
Delhi,2015-05-03,88.3,127.33,39.41,56.29,42.85,2.6,34.87,59.32,8.78,6.4,7.44,368.0,Very Poor
Delhi,2015-05-04,81.52,128.12,37.18,53.12,44.17,2.52,27.35,49.72,9.26,8.45,5.13,340.0,Very Poor
Delhi,2015-05-05,43.03,132.37,32.41,46.3,28.25,2.64,7.86,65.22,11.5,9.71,6.36,179.0,Moderate
Delhi,2015-05-06,82.18,151.05,49.05,70.07,55.79,3.67,43.38,58.13,9.78,15.11,4.9,343.0,Very Poor
Delhi,2015-05-07,82.5,212.04,43.1,61.57,36.76,3.17,5.19,33.52,5.47,11.46,6.96,344.0,Very Poor
Delhi,2015-05-08,98.81,224.56,50.3,71.85,45.98,3.09,34.48,25.61,11.27,19.54,9.09,412.0,Severe
Delhi,2015-05-09,31.25,46.56,32.96,47.09,30.86,1.89,4.52,55.49,6.89,,5.62,130.0,Moderate
Delhi,2015-05-10,69.77,198.45,47.28,67.54,32.46,2.35,21.81,47.03,8.91,15.06,8.45,291.0,Poor
Delhi,2015-05-11,121.2,231.61,44.91,64.15,70.98,3.25,26.46,35.44,6.42,11.94,6.2,500.0,Severe
Delhi,2015-05-12,95.24,121.88,41.47,59.24,56.75,2.48,33.41,32.06,4.24,13.17,3.29,397.0,Very Poor
Delhi,2015-05-13,94.29,141.71,38.59,55.13,44.08,2.87,25.73,49.49,11.05,22.65,5.41,393.0,Very Poor
Delhi,2015-05-14,99.19,206.09,34.32,49.04,26.17,3.36,6.51,53.56,4.97,14.48,10.11,414.0,Severe
Delhi,2015-05-15,52.81,105.28,31.68,45.25,33.1,2.5,17.89,29.36,11.49,8.93,3.11,220.0,Poor
Delhi,2015-05-16,94.0,139.9,46.92,67.03,51.49,3.01,28.48,87.9,5.74,10.29,8.3,392.0,Very Poor
Delhi,2015-05-17,94.09,136.39,50.34,71.91,46.6,3.3,38.62,51.48,4.34,12.47,7.97,392.0,Very Poor
Delhi,2015-05-18,70.45,138.88,29.11,41.58,42.85,3.43,28.96,23.99,12.24,11.68,6.9,294.0,Poor
Delhi,2015-05-19,158.62,240.09,52.52,75.03,66.89,4.27,39.05,66.89,5.58,14.39,6.54,500.0,Severe
Delhi,2015-05-20,81.07,207.69,47.24,67.49,58.24,1.97,26.22,30.88,7.93,8.0,4.99,338.0,Very Poor
Delhi,2015-05-21,105.83,173.71,29.02,41.45,63.9,3.82,36.98,17.22,7.69,16.9,6.08,441.0,Severe
Delhi,2015-05-22,40.18,136.56,26.19,37.41,40.91,2.12,22.64,36.12,6.58,15.49,3.31,168.0,Moderate
Delhi,2015-05-23,87.15,140.47,30.08,42.98,55.13,3.21,33.86,21.82,8.82,14.6,4.07,363.0,Very Poor
Delhi,2015-05-24,84.23,121.71,23.48,33.54,49.38,2.67,34.41,38.64,8.57,14.84,5.13,351.0,Very Poor
Delhi,2015-05-25,77.96,157.9,33.68,48.12,38.03,2.6,31.97,45.09,5.27,,2.23,325.0,Very Poor
Delhi,2015-05-26,85.68,150.06,45.65,65.21,47.12,2.87,41.54,37.47,11.49,8.29,6.48,357.0,Very Poor
Delhi,2015-05-27,64.5,120.41,53.36,76.23,37.61,2.21,10.19,,10.66,12.92,10.21,269.0,Poor
Delhi,2015-05-28,129.13,184.45,48.65,69.49,78.99,3.68,21.55,27.35,7.47,12.49,7.1,500.0,Severe
Delhi,2015-05-29,116.51,250.01,44.18,63.11,33.45,2.65,28.96,36.7,9.36,7.04,4.21,486.0,Severe
Delhi,2015-05-30,67.95,98.46,37.5,53.58,40.38,1.81,35.92,41.73,10.01,12.85,4.5,283.0,Poor
Delhi,2015-05-31,11.39,80.5,30.93,44.18,9.27,1.17,13.52,19.33,10.49,11.27,7.54,48.0,Good
Delhi,2015-06-01,67.54,168.91,46.47,66.38,20.37,2.44,,26.63,5.84,11.16,4.03,282.0,Poor
Delhi,2015-06-02,113.08,248.99,52.85,75.5,60.86,2.77,41.37,43.1,9.14,14.55,6.12,472.0,Severe
Delhi,2015-06-03,58.84,86.7,32.46,46.37,41.31,2.16,8.77,41.39,4.92,17.06,4.27,245.0,Poor
Delhi,2015-06-04,119.16,247.07,40.8,58.29,69.12,3.15,25.32,36.01,9.58,13.95,2.36,497.0,Severe
Delhi,2015-06-05,119.56,124.57,53.34,76.19,43.83,3.15,41.95,33.84,7.36,10.77,7.56,499.0,Severe
Delhi,2015-06-06,44.31,49.79,38.8,55.43,24.24,1.8,20.44,56.65,3.11,17.09,9.78,185.0,Moderate
Delhi,2015-06-07,38.63,72.72,32.94,47.05,33.77,1.8,20.85,38.36,6.89,10.96,9.2,161.0,Moderate
Delhi,2015-06-08,76.36,135.39,43.36,61.95,23.7,2.13,14.14,47.93,8.55,7.28,9.15,318.0,Very Poor
Delhi,2015-06-09,96.21,213.25,35.69,50.99,29.26,3.06,24.47,32.92,10.24,7.71,6.48,401.0,Severe
Delhi,2015-06-10,122.24,160.2,52.97,75.67,42.8,4.1,49.02,33.28,7.91,9.73,2.95,500.0,Severe
Delhi,2015-06-11,139.08,260.01,57.81,82.58,62.46,4.1,36.65,34.13,6.97,14.49,5.26,500.0,Severe
Delhi,2015-06-12,115.84,237.34,48.06,68.66,45.53,3.94,34.42,18.28,9.92,9.1,6.48,483.0,Severe
Delhi,2015-06-13,86.69,84.72,38.82,55.46,52.23,3.14,30.29,49.68,8.27,11.21,5.7,362.0,Very Poor
Delhi,2015-06-14,93.61,193.95,47.68,68.12,45.99,3.15,47.71,69.36,10.86,16.4,5.18,390.0,Very Poor
Delhi,2015-06-15,69.94,149.44,42.36,60.51,36.07,2.89,29.6,47.74,9.3,15.2,7.51,292.0,Poor
Delhi,2015-06-16,113.79,185.2,46.38,66.26,37.12,3.47,25.51,15.4,7.43,9.81,6.21,475.0,Severe
Delhi,2015-06-17,105.36,243.42,43.13,61.62,35.26,3.57,24.27,54.06,5.71,8.92,4.12,439.0,Severe
Delhi,2015-06-18,130.95,206.74,52.93,75.62,57.97,3.77,22.32,41.18,3.04,16.81,4.29,500.0,Severe
Delhi,2015-06-19,83.02,242.26,51.04,72.91,53.83,2.94,37.36,32.63,5.08,13.91,7.01,346.0,Very Poor
Delhi,2015-06-20,76.13,93.68,43.22,61.74,34.56,2.71,11.75,45.03,6.12,12.06,7.91,317.0,Very Poor
Delhi,2015-06-21,52.55,29.98,27.43,39.18,33.38,1.71,20.45,27.71,10.62,13.05,6.39,219.0,Poor
Delhi,2015-06-22,97.63,149.15,55.37,79.1,41.24,2.62,42.19,47.83,8.57,12.27,3.89,407.0,Severe
Delhi,2015-06-23,65.17,151.95,33.71,48.16,26.85,2.5,21.17,49.02,1.11,9.8,3.56,272.0,Poor
Delhi,2015-06-24,75.57,159.45,40.25,57.5,47.54,3.55,23.37,35.9,10.91,18.41,4.52,315.0,Very Poor
Delhi,2015-06-25,93.37,211.32,32.28,46.12,45.06,2.71,42.15,49.58,9.81,9.82,5.67,389.0,Very Poor
Delhi,2015-06-26,58.29,28.7,25.3,36.15,15.47,1.31,22.0,51.68,7.77,12.06,7.08,243.0,Poor
Delhi,2015-06-27,55.05,157.99,37.57,53.67,45.49,2.48,29.0,40.29,9.78,10.58,4.85,230.0,Poor
Delhi,2015-06-28,25.82,32.09,28.21,40.3,38.22,1.18,26.78,50.05,1.18,8.25,5.21,108.0,Moderate
Delhi,2015-06-29,65.74,76.45,33.57,47.96,28.83,2.52,38.15,43.46,6.15,10.5,5.36,274.0,Poor
Delhi,2015-06-30,124.91,202.69,44.64,63.78,64.71,4.33,23.35,22.45,9.92,,5.47,500.0,Severe
Delhi,2015-07-01,123.65,198.29,41.12,58.74,76.15,3.03,50.26,42.77,8.02,11.24,5.29,500.0,Severe
Delhi,2015-07-02,92.35,247.03,39.81,56.87,51.8,2.55,27.25,46.72,8.14,13.33,5.15,385.0,Very Poor
Delhi,2015-07-03,103.89,132.98,45.8,65.43,69.02,3.02,30.74,47.32,7.43,14.88,3.41,433.0,Severe
Delhi,2015-07-04,65.25,154.42,45.64,65.2,28.62,2.42,29.74,49.43,5.91,7.66,6.94,272.0,Poor
Delhi,2015-07-05,35.96,89.15,43.25,61.79,41.43,1.78,18.42,30.29,7.46,9.4,8.64,150.0,Moderate
Delhi,2015-07-06,84.72,155.9,42.91,61.29,30.38,2.66,37.24,46.1,12.14,7.02,4.58,353.0,Very Poor
Delhi,2015-07-07,131.26,200.08,45.72,65.31,77.58,3.87,40.18,48.77,3.31,18.47,6.21,500.0,Severe
Delhi,2015-07-08,67.94,181.01,32.43,46.33,28.73,1.17,22.3,46.14,6.35,7.9,5.27,283.0,Poor
Delhi,2015-07-09,13.71,108.85,26.94,38.48,35.23,1.97,,23.93,11.58,4.89,6.64,57.0,Satisfactory
Delhi,2015-07-10,47.12,149.4,23.73,33.9,44.98,1.84,13.83,58.26,7.24,16.53,3.88,196.0,Moderate
Delhi,2015-07-11,79.62,143.43,43.2,61.72,62.29,2.55,24.93,61.34,10.94,12.34,4.38,332.0,Very Poor
Delhi,2015-07-12,77.8,179.24,38.08,54.39,52.48,3.07,13.96,54.56,8.1,8.18,1.38,324.0,Very Poor
Delhi,2015-07-13,140.42,263.66,48.24,68.92,66.76,4.1,50.42,47.47,9.26,15.36,4.77,500.0,Severe
Delhi,2015-07-14,45.91,116.11,37.2,53.15,35.73,2.15,26.95,10.0,9.36,9.86,4.58,191.0,Moderate
Delhi,2015-07-15,25.76,107.31,32.64,46.63,31.51,1.92,23.47,40.75,6.02,14.8,6.84,107.0,Moderate
Delhi,2015-07-16,83.56,92.94,36.59,52.27,53.99,2.47,18.6,45.65,6.05,15.09,8.22,348.0,Very Poor
Delhi,2015-07-17,117.61,263.96,33.27,47.52,39.18,3.14,35.91,19.71,11.34,9.48,9.07,490.0,Severe
Delhi,2015-07-18,54.56,104.31,27.86,39.79,,2.23,19.73,48.12,12.16,16.59,3.63,228.0,Poor
Delhi,2015-07-19,59.37,134.95,26.72,38.17,40.17,2.52,16.25,39.27,5.72,11.08,4.15,248.0,Poor
Delhi,2015-07-20,139.9,165.32,38.75,55.36,58.7,3.73,29.36,13.79,10.85,6.86,6.18,500.0,Severe
Delhi,2015-07-21,45.11,97.09,42.19,60.27,44.39,1.58,32.49,52.45,4.56,15.28,9.08,188.0,Moderate
Delhi,2015-07-22,52.06,142.94,33.87,48.39,54.97,2.53,36.12,27.03,8.13,10.98,5.35,217.0,Poor
Delhi,2015-07-23,151.55,201.6,56.78,81.11,65.14,4.22,29.57,37.38,6.89,11.47,7.65,500.0,Severe
Delhi,2015-07-24,62.72,160.13,33.56,47.95,30.95,2.97,36.95,52.11,9.08,14.27,4.6,262.0,Poor
Delhi,2015-07-25,52.37,60.77,36.77,52.53,43.09,2.02,34.75,43.59,9.42,12.3,7.49,218.0,Poor
Delhi,2015-07-26,60.22,122.2,45.63,65.19,47.72,2.16,22.55,42.31,2.85,13.14,7.62,251.0,Poor
Delhi,2015-07-27,104.32,224.94,33.54,47.91,71.0,3.04,36.19,65.79,5.7,9.8,7.72,435.0,Severe
Delhi,2015-07-28,87.28,163.01,39.21,56.02,36.64,2.8,30.11,66.24,5.9,10.03,7.09,364.0,Very Poor
Delhi,2015-07-29,136.23,233.23,47.29,67.56,88.55,3.49,30.54,27.62,11.73,6.6,3.36,500.0,Severe
Delhi,2015-07-30,137.84,178.97,40.4,57.72,38.06,3.96,41.34,55.97,3.8,12.06,6.84,500.0,Severe
Delhi,2015-07-31,129.92,254.63,62.68,89.54,63.04,3.99,25.44,26.1,5.24,10.33,5.41,500.0,Severe
Delhi,2015-08-01,73.67,80.72,39.45,56.35,28.15,2.56,19.81,41.59,3.75,14.4,5.71,307.0,Very Poor
Delhi,2015-08-02,67.74,134.71,24.12,34.46,33.25,3.3,10.12,45.84,9.6,1.46,6.01,282.0,Poor
Delhi,2015-08-03,159.92,245.22,48.17,68.81,56.92,4.08,36.3,46.5,6.58,6.86,5.74,500.0,Severe
Delhi,2015-08-04,88.63,169.9,57.96,82.8,49.96,3.56,19.4,54.95,13.28,13.49,6.78,370.0,Very Poor
